File '/libfido2/src/aes256.c':
Name                         Regions    Miss   Cover     Lines    Miss   Cover
------------------------------------------------------------------------------
aes256_cbc_enc                     3       0 100.00%         4       0 100.00%
aes256_cbc_dec                     3       0 100.00%         4       0 100.00%
aes256_gcm_enc                     1       0 100.00%         3       0 100.00%
aes256_gcm_dec                     1       0 100.00%         3       0 100.00%
aes256.c:aes256_cbc_fips          26       2  92.31%        45       7  84.44%
aes256.c:aes256_cbc               29       1  96.55%        40       3  92.50%
aes256.c:aes256_cbc_proto1         1       0 100.00%         7       0 100.00%
aes256.c:aes256_gcm               51       1  98.04%        69       4  94.20%
------------------------------------------------------------------------------
TOTAL                            115       4  96.52%       175      14  92.00%

File '/libfido2/src/assert.c':
Name                                  Regions    Miss   Cover     Lines    Miss   Cover
---------------------------------------------------------------------------------------
fido_dev_get_assert                        40       0 100.00%        41       0 100.00%
fido_check_flags                           13       0 100.00%        18       0 100.00%
fido_get_signed_hash                       32       0 100.00%        46       0 100.00%
fido_verify_sig_es256                      17       2  88.24%        31       7  77.42%
fido_verify_sig_rs256                      17       2  88.24%        31       7  77.42%
fido_verify_sig_eddsa                      23       2  91.30%        43       7  83.72%
fido_assert_verify                         48       4  91.67%        79       5  93.67%
fido_assert_set_clientdata                 12      12   0.00%        12      12   0.00%
fido_assert_set_clientdata_hash             8       0 100.00%         7       0 100.00%
fido_assert_set_hmac_salt                  10       0 100.00%         7       0 100.00%
fido_assert_set_hmac_secret                12      12   0.00%         8       8   0.00%
fido_assert_set_rp                         12       0 100.00%        14       0 100.00%
fido_assert_allow_cred                     13       2  84.62%        29       3  89.66%
fido_assert_set_extensions                 14       0 100.00%        11       0 100.00%
fido_assert_set_options                     6       6   0.00%         6       6   0.00%
fido_assert_set_up                          2       0 100.00%         5       0 100.00%
fido_assert_set_uv                          2       0 100.00%         5       0 100.00%
fido_assert_clientdata_hash_ptr             1       0 100.00%         3       0 100.00%
fido_assert_clientdata_hash_len             1       0 100.00%         3       0 100.00%
fido_assert_new                             1       0 100.00%         3       0 100.00%
fido_assert_reset_tx                        1       0 100.00%        12       0 100.00%
fido_assert_reset_rx                        4       0 100.00%        19       0 100.00%
fido_assert_free                            6       0 100.00%        10       0 100.00%
fido_assert_count                           1       0 100.00%         3       0 100.00%
fido_assert_rp_id                           1       0 100.00%         3       0 100.00%
fido_assert_flags                           4       0 100.00%         6       0 100.00%
fido_assert_sigcount                        4       0 100.00%         6       0 100.00%
fido_assert_authdata_ptr                    4       0 100.00%         6       0 100.00%
fido_assert_authdata_len                    4       0 100.00%         6       0 100.00%
fido_assert_sig_ptr                         4       0 100.00%         6       0 100.00%
fido_assert_sig_len                         4       0 100.00%         6       0 100.00%
fido_assert_id_ptr                          4       0 100.00%         6       0 100.00%
fido_assert_id_len                          4       0 100.00%         6       0 100.00%
fido_assert_user_id_ptr                     4       0 100.00%         6       0 100.00%
fido_assert_user_id_len                     4       0 100.00%         6       0 100.00%
fido_assert_user_icon                       4       0 100.00%         6       0 100.00%
fido_assert_user_name                       4       0 100.00%         6       0 100.00%
fido_assert_user_display_name               4       0 100.00%         6       0 100.00%
fido_assert_hmac_secret_ptr                 4       0 100.00%         6       0 100.00%
fido_assert_hmac_secret_len                 4       0 100.00%         6       0 100.00%
fido_assert_largeblob_key_ptr               4       0 100.00%         6       0 100.00%
fido_assert_largeblob_key_len               4       0 100.00%         6       0 100.00%
fido_assert_blob_ptr                        4       0 100.00%         6       0 100.00%
fido_assert_blob_len                        4       0 100.00%         6       0 100.00%
fido_assert_set_authdata                   24       0 100.00%        35       0 100.00%
fido_assert_set_authdata_raw               24       0 100.00%        34       0 100.00%
fido_assert_set_sig                        14       0 100.00%         8       0 100.00%
fido_assert_set_count                      10       0 100.00%        21       0 100.00%
